"variable","method","suite","method_type","method_class","cache_type","display_name","verified","commercial_use","source_file","current"
"ag_140_bq_4h8c_metadata","AutoGluon_v140_bq_4h8c","tabarena-2025-11-01","baseline","system","s3","AutoGluon 1.4 (best, 4h)",NA,TRUE,"autogluon__info.py",TRUE
"realtabpfnv25_method_metadata","RealTabPFN-v2.5","tabarena-2025-11-12","config","model","s3","RealTabPFN-2.5",NA,TRUE,"tabpfnv2_5__info.py",TRUE
"sap_rpt_oss_method_metadata","SAP-RPT-OSS","tabarena-2025-11-25","config","model","s3","SAP-RPT-OSS",FALSE,FALSE,"sap_rpt_oss__info.py",TRUE
"ag_150_eq_4h8c_metadata","AutoGluon_v150_eq_4h8c","tabarena-2025-12-18","baseline","system","s3","AutoGluon 1.5 (extreme, 4h)",NA,TRUE,"autogluon__info.py",TRUE
"perpetual_booster_method_metadata","PerpetualBooster","tabarena-2026-03-18","config","model","r2","PerpetualBooster",NA,TRUE,"perpetual_booster__info.py",TRUE
"tabpfnv26_method_metadata","TabPFN-v2.6","tabarena-2026-03-18","config","model","r2","TabPFN-2.6",NA,TRUE,"tabpfnv2_5__info.py",TRUE
"tabstar_method_metadata","TabSTAR","tabarena-2026-03-18","config","model","r2","TabSTAR",NA,TRUE,"tabstar__info.py",TRUE
"iltm_method_metadata","iLTM","tabarena-2026-05-13","config","model","r2","iLTM",NA,TRUE,"iltm__info.py",TRUE
"limix_method_metadata","LimiX","tabarena-2026-05-13","config","model","r2","LimiX",FALSE,FALSE,"limix__info.py",TRUE
"orionmsp_method_metadata","OrionMSP","tabarena-2026-05-13","config","model","r2","OrionMSP",FALSE,TRUE,"orionmsp__info.py",TRUE
"tabm_new_method_metadata","TabM","tabarena-2026-06-26","config","model","r2","TabM",TRUE,TRUE,"tabm__info.py",TRUE
"tabfm_plus_method_metadata","TabFM+","tabarena-2026-07-07","baseline","system","r2","TabFM+",TRUE,FALSE,"tabfm_plus__info.py",TRUE
"catboost_new_method_metadata","CatBoost","tabarena-2026-07-13","config","model","r2","CatBoost",NA,TRUE,"catboost__info.py",TRUE
"ebm_new_method_metadata","ExplainableBM","tabarena-2026-07-13","config","model","r2","EBM",NA,TRUE,"ebm__info.py",TRUE
"extra_trees_new_method_metadata","ExtraTrees","tabarena-2026-07-13","config","model","r2","ExtraTrees",NA,TRUE,"extra_trees__info.py",TRUE
"nori_new_method_metadata","Nori","tabarena-2026-07-13","config","model","r2","Nori",TRUE,TRUE,"nori__info.py",TRUE
"tabdpt_turbo_method_metadata","TabDPT-Turbo","tabarena-2026-07-13","config","model","r2","TabDPT-Turbo",FALSE,TRUE,"tabdpt__info.py",TRUE
"ag_160_eq_4h_metadata","AutoGluon_16_extreme","tabarena-2026-08-05","baseline","system","r2","AutoGluon 1.6 (extreme, 4h)",TRUE,TRUE,"autogluon__info.py",TRUE
"ag_160_noncomm_4h_metadata","AutoGluon_16_noncommercial","tabarena-2026-08-05","baseline","system","r2","AutoGluon 1.6 (noncommercial, 4h)",TRUE,FALSE,"autogluon__info.py",TRUE
"chimeraboost_v030_method_metadata","ChimeraBoost","tabarena-2026-08-10","config","model","r2","ChimeraBoost",TRUE,TRUE,"chimeraboost__info.py",TRUE
"ctboost_method_metadata","CTBoost","tabarena-2026-09-09","config","model","r2","CTBoost",TRUE,TRUE,"ctboost__info.py",TRUE
"aplr_method_metadata","aplr","tabarena-2026-09-13","config","model","r2","APLR",NA,TRUE,"aplr__info.py",TRUE
"causilo_new_method_metadata","Causilo","tabarena-2026-09-16","config","model","r2","Causilo",TRUE,FALSE,"causilo__info.py",TRUE
"exaone_tabular_new_method_metadata","EXAONE-Tabular","tabarena-2026-09-16","config","model","r2","EXAONE-Tabular",TRUE,FALSE,"exaone_tabular__info.py",TRUE
"mitra_v2_new_method_metadata","Mitra-v2","tabarena-2026-09-16","config","model","r2","Mitra-v2",TRUE,TRUE,"mitra_v2__info.py",TRUE
"nori30m_new_method_metadata","Nori-30M","tabarena-2026-09-16","config","model","r2","Nori-30M",TRUE,TRUE,"nori__info.py",TRUE
"tabfm_2026_09_method_metadata","TabFM","tabarena-2026-09-16","config","model","r2","TabFM",TRUE,FALSE,"tabfm__info.py",TRUE
"tabiclv2_2026_09_method_metadata","TabICLv2","tabarena-2026-09-16","config","model","r2","TabICLv2",NA,TRUE,"tabicl__info.py",TRUE
"tabpfn_3_2026_09_method_metadata","TabPFN-3","tabarena-2026-09-16","config","model","r2","TabPFN-3",NA,TRUE,"tabpfn_3__info.py",TRUE
"tabswift_2026_09_method_metadata","TabSwift","tabarena-2026-09-16","config","model","r2","TabSwift",FALSE,TRUE,"tabswift__info.py",TRUE
